Province,Year,Sex,Control_LaborForce,Control_UnemploymentRate
Alberta,2014,Men+,1298700.0,4.6
Alberta,2014,Women+,1064700.0,5.0
Alberta,2015,Men+,1319800.0,6.5
Alberta,2015,Women+,1090000.0,5.6
Alberta,2016,Men+,1306800.0,8.8
Alberta,2016,Women+,1088300.0,7.5
Alberta,2017,Men+,1312600.0,8.5
Alberta,2017,Women+,1099500.0,7.5
Alberta,2018,Men+,1317500.0,6.8
Alberta,2018,Women+,1121000.0,6.2
Alberta,2019,Men+,1334700.0,7.5
Alberta,2019,Women+,1140500.0,6.1
Alberta,2020,Men+,1311400.0,11.6
Alberta,2020,Women+,1100400.0,11.1
Alberta,2021,Men+,1318400.0,8.7
Alberta,2021,Women+,1138800.0,8.5
Alberta,2022,Men+,1326800.0,5.7
Alberta,2022,Women+,1175300.0,6.0
Alberta,2023,Men+,1386300.0,5.9
Alberta,2023,Women+,1209200.0,5.9
Alberta,2024,Men+,1451300.0,7.0
Alberta,2024,Women+,1257000.0,7.0
British Columbia,2014,Men+,1306200.0,6.4
British Columbia,2014,Women+,1179200.0,6.1
British Columbia,2015,Men+,1339500.0,6.6
British Columbia,2015,Women+,1191700.0,5.6
British Columbia,2016,Men+,1376600.0,6.6
British Columbia,2016,Women+,1247900.0,5.5
British Columbia,2017,Men+,1415600.0,5.6
British Columbia,2017,Women+,1290700.0,5.0
British Columbia,2018,Men+,1432500.0,4.7
British Columbia,2018,Women+,1304700.0,4.6
British Columbia,2019,Men+,1471700.0,4.8
British Columbia,2019,Women+,1345100.0,4.9
British Columbia,2020,Men+,1464600.0,9.2
British Columbia,2020,Women+,1316500.0,9.1
British Columbia,2021,Men+,1512000.0,6.5
British Columbia,2021,Women+,1360400.0,6.6
British Columbia,2022,Men+,1513900.0,4.9
British Columbia,2022,Women+,1397100.0,4.4
British Columbia,2023,Men+,1565400.0,5.2
British Columbia,2023,Women+,1438500.0,5.2
British Columbia,2024,Men+,1622400.0,5.5
British Columbia,2024,Women+,1463500.0,5.7
Manitoba,2014,Men+,355800.0,5.6
Manitoba,2014,Women+,309100.0,5.5
Manitoba,2015,Men+,360200.0,5.6
Manitoba,2015,Women+,316300.0,5.8
Manitoba,2016,Men+,364600.0,6.6
Manitoba,2016,Women+,314500.0,5.5
Manitoba,2017,Men+,366300.0,5.6
Manitoba,2017,Women+,319100.0,5.0
Manitoba,2018,Men+,375000.0,6.4
Manitoba,2018,Women+,319900.0,5.5
Manitoba,2019,Men+,378900.0,5.9
Manitoba,2019,Women+,320100.0,4.7
Manitoba,2020,Men+,374600.0,8.4
Manitoba,2020,Women+,317300.0,7.8
Manitoba,2021,Men+,382800.0,6.4
Manitoba,2021,Women+,327100.0,6.5
Manitoba,2022,Men+,384400.0,4.5
Manitoba,2022,Women+,336200.0,4.5
Manitoba,2023,Men+,398400.0,5.0
Manitoba,2023,Women+,344700.0,4.8
Manitoba,2024,Men+,412700.0,5.9
Manitoba,2024,Women+,353500.0,5.0
New Brunswick,2014,Men+,207800.0,11.8
New Brunswick,2014,Women+,189700.0,8.1
New Brunswick,2015,Men+,205800.0,12.6
New Brunswick,2015,Women+,188500.0,7.3
New Brunswick,2016,Men+,206900.0,12.4
New Brunswick,2016,Women+,189300.0,6.8
New Brunswick,2017,Men+,203700.0,10.2
New Brunswick,2017,Women+,188500.0,6.4
New Brunswick,2018,Men+,202500.0,9.6
New Brunswick,2018,Women+,189300.0,6.6
New Brunswick,2019,Men+,204300.0,9.5
New Brunswick,2019,Women+,189600.0,6.8
New Brunswick,2020,Men+,203500.0,12.1
New Brunswick,2020,Women+,188800.0,8.5
New Brunswick,2021,Men+,206700.0,10.5
New Brunswick,2021,Women+,195100.0,7.9
New Brunswick,2022,Men+,207800.0,8.2
New Brunswick,2022,Women+,197000.0,6.1
New Brunswick,2023,Men+,214100.0,8.0
New Brunswick,2023,Women+,201800.0,5.0
New Brunswick,2024,Men+,222100.0,8.4
New Brunswick,2024,Women+,208200.0,5.6
Newfoundland and Labrador,2014,Men+,145200.0,14.3
Newfoundland and Labrador,2014,Women+,128600.0,10.2
Newfoundland and Labrador,2015,Men+,145400.0,15.5
Newfoundland and Labrador,2015,Women+,130800.00000000001,10.4
Newfoundland and Labrador,2016,Men+,143800.0,16.3
Newfoundland and Labrador,2016,Women+,128500.0,10.7
Newfoundland and Labrador,2017,Men+,138600.0,18.8
Newfoundland and Labrador,2017,Women+,128699.99999999999,11.3
Newfoundland and Labrador,2018,Men+,139000.0,16.8
Newfoundland and Labrador,2018,Women+,126100.0,10.9
Newfoundland and Labrador,2019,Men+,139600.0,14.3
Newfoundland and Labrador,2019,Women+,123900.0,9.8
Newfoundland and Labrador,2020,Men+,132000.0,17.7
Newfoundland and Labrador,2020,Women+,121600.0,10.6
Newfoundland and Labrador,2021,Men+,135000.0,16.1
Newfoundland and Labrador,2021,Women+,123800.0,9.7
Newfoundland and Labrador,2022,Men+,137700.0,13.6
Newfoundland and Labrador,2022,Women+,126400.0,8.8
Newfoundland and Labrador,2023,Men+,137000.0,11.8
Newfoundland and Labrador,2023,Women+,127700.0,7.9
Newfoundland and Labrador,2024,Men+,139500.0,12.3
Newfoundland and Labrador,2024,Women+,132500.0,7.5
Nova Scotia,2014,Men+,252800.0,11.0
Nova Scotia,2014,Women+,239000.0,7.2
Nova Scotia,2015,Men+,248900.0,10.4
Nova Scotia,2015,Women+,238200.0,7.3
Nova Scotia,2016,Men+,246400.0,10.2
Nova Scotia,2016,Women+,236100.0,6.6
Nova Scotia,2017,Men+,248600.0,10.8
Nova Scotia,2017,Women+,238500.0,6.5
Nova Scotia,2018,Men+,252100.0,9.6
Nova Scotia,2018,Women+,237700.0,6.2
Nova Scotia,2019,Men+,255000.0,8.8
Nova Scotia,2019,Women+,246600.0,6.2
Nova Scotia,2020,Men+,254800.0,10.8
Nova Scotia,2020,Women+,241700.0,9.1
Nova Scotia,2021,Men+,267000.0,9.7
Nova Scotia,2021,Women+,253200.0,7.4
Nova Scotia,2022,Men+,270900.0,7.3
Nova Scotia,2022,Women+,255700.0,5.7
Nova Scotia,2023,Men+,277600.0,7.0
Nova Scotia,2023,Women+,261899.99999999997,5.7
Nova Scotia,2024,Men+,287600.0,7.4
Nova Scotia,2024,Women+,269900.0,5.6
Ontario,2014,Men+,3855800.0,7.6
Ontario,2014,Women+,3513100.0,7.2
Ontario,2015,Men+,3872400.0,7.1
Ontario,2015,Women+,3493600.0,6.5
Ontario,2016,Men+,3906000.0,6.8
Ontario,2016,Women+,3516000.0,6.3
Ontario,2017,Men+,3985800.0,6.3
Ontario,2017,Women+,3582500.0,5.8
Ontario,2018,Men+,4040800.0,5.6
Ontario,2018,Women+,3633400.0,5.7
Ontario,2019,Men+,4137800.0,5.7
Ontario,2019,Women+,3710200.0,5.4
Ontario,2020,Men+,4133899.9999999995,9.6
Ontario,2020,Women+,3671700.0,10.0
Ontario,2021,Men+,4254300.0,8.1
Ontario,2021,Women+,3805800.0,8.2
Ontario,2022,Men+,4330700.0,5.5
Ontario,2022,Women+,3890800.0,5.7
Ontario,2023,Men+,4476200.0,5.5
Ontario,2023,Women+,4007600.0,5.8
Ontario,2024,Men+,4637400.0,7.3
Ontario,2024,Women+,4117300.0,6.5
Prince Edward Island,2014,Men+,42000.0,12.4
Prince Edward Island,2014,Women+,40200.0,9.0
Prince Edward Island,2015,Men+,41800.0,12.0
Prince Edward Island,2015,Women+,39700.0,9.3
Prince Edward Island,2016,Men+,41800.0,12.7
Prince Edward Island,2016,Women+,39000.0,8.7
Prince Edward Island,2017,Men+,42700.0,11.5
Prince Edward Island,2017,Women+,39600.0,8.3
Prince Edward Island,2018,Men+,43400.0,11.1
Prince Edward Island,2018,Women+,41100.0,8.8
Prince Edward Island,2019,Men+,44100.0,11.1
Prince Edward Island,2019,Women+,41800.0,6.7
Prince Edward Island,2020,Men+,43700.0,10.5
Prince Edward Island,2020,Women+,41600.0,10.8
Prince Edward Island,2021,Men+,46400.0,11.0
Prince Edward Island,2021,Women+,42300.0,8.5
Prince Edward Island,2022,Men+,47000.0,8.3
Prince Edward Island,2022,Women+,44200.0,7.2
Prince Edward Island,2023,Men+,49900.0,8.4
Prince Edward Island,2023,Women+,46400.0,5.8
Prince Edward Island,2024,Men+,53200.0,8.8
Prince Edward Island,2024,Women+,47200.0,7.0
Quebec,2014,Men+,2305100.0,9.1
Quebec,2014,Women+,2059300.0000000002,6.6
Quebec,2015,Men+,2313200.0,8.5
Quebec,2015,Women+,2066199.9999999998,6.8
Quebec,2016,Men+,2308300.0,8.3
Quebec,2016,Women+,2072500.0,6.1
Quebec,2017,Men+,2342800.0,6.5
Quebec,2017,Women+,2092800.0000000002,5.7
Quebec,2018,Men+,2364300.0,5.9
Quebec,2018,Women+,2124800.0,5.0
Quebec,2019,Men+,2384300.0,5.6
Quebec,2019,Women+,2144900.0,4.4
Quebec,2020,Men+,2371400.0,9.1
Quebec,2020,Women+,2115500.0,8.7
Quebec,2021,Men+,2397700.0,6.4
Quebec,2021,Women+,2141700.0,5.8
Quebec,2022,Men+,2417300.0,4.6
Quebec,2022,Women+,2173500.0,4.0
Quebec,2023,Men+,2494800.0,4.9
Quebec,2023,Women+,2239600.0,4.0
Quebec,2024,Men+,2548100.0,5.7
Quebec,2024,Women+,2274600.0,4.9
Saskatchewan,2014,Men+,323000.0,3.9
Saskatchewan,2014,Women+,268600.0,3.9
Saskatchewan,2015,Men+,324300.0,5.6
Saskatchewan,2015,Women+,272300.0,4.7
Saskatchewan,2016,Men+,326800.0,7.1
Saskatchewan,2016,Women+,273000.0,5.6
Saskatchewan,2017,Men+,326300.0,7.0
Saskatchewan,2017,Women+,274800.0,5.7
Saskatchewan,2018,Men+,325400.0,6.7
Saskatchewan,2018,Women+,276800.0,5.4
Saskatchewan,2019,Men+,328100.0,5.6
Saskatchewan,2019,Women+,280100.0,5.4
Saskatchewan,2020,Men+,321800.0,8.7
Saskatchewan,2020,Women+,273000.0,7.8
Saskatchewan,2021,Men+,323000.0,7.2
Saskatchewan,2021,Women+,274100.0,5.7
Saskatchewan,2022,Men+,323800.0,5.3
Saskatchewan,2022,Women+,282200.0,3.8
Saskatchewan,2023,Men+,329000.0,5.0
Saskatchewan,2023,Women+,287100.0,4.4
Saskatchewan,2024,Men+,341900.0,5.7
Saskatchewan,2024,Women+,294900.0,5.1
